iter	RMSE
0	15.0667651
1	15.03255449
2	15.00382122
3	14.97195786
4	14.94076354
5	14.91009024
6	14.87979166
7	14.8492245
8	14.82004806
9	14.79153728
10	14.76358909
11	14.73806152
12	14.71318378
13	14.6860269
14	14.66088667
15	14.6373292
16	14.61150335
17	14.58603359
18	14.56048299
19	14.53831814
20	14.51348105
21	14.49042745
22	14.46653078
23	14.44256631
24	14.42156077
25	14.39968605
26	14.37745731
27	14.35663259
28	14.33586245
29	14.31676638
30	14.29542762
31	14.27557922
32	14.25542373
33	14.23556939
34	14.21673162
35	14.19894127
36	14.18201686
37	14.16394013
38	14.14467564
39	14.12706404
40	14.10930893
41	14.0918117
42	14.0749121
43	14.06032354
44	14.04397582
45	14.02701937
46	14.01128196
47	13.99634498
48	13.98129825
49	13.96675701
50	13.9510797
51	13.93653853
52	13.92218013
53	13.90895158
54	13.89499695
55	13.88247809
56	13.87064224
57	13.85228915
58	13.83931276
59	13.82608851
60	13.81497012
61	13.79910627
62	13.78547506
63	13.77356098
64	13.7609969
65	13.75060079
66	13.74050929
67	13.7275016
68	13.71638928
69	13.70615323
70	13.6941901
71	13.68328101
72	13.67376086
73	13.66424003
74	13.65344244
75	13.64316931
76	13.63369739
77	13.62410097
78	13.61516523
79	13.60654219
80	13.59450721
81	13.58552241
82	13.57106358
83	13.55615646
84	13.54631114
85	13.53729355
86	13.52805194
87	13.51277806
88	13.50489092
89	13.49693124
90	13.48893809
91	13.47669959
92	13.46309168
93	13.45421956
94	13.4462021
95	13.43814566
96	13.43075185
97	13.42318681
98	13.41565459
99	13.40836124
100	13.40215419
101	13.39512351
102	13.38867325
103	13.381602
104	13.37191309
105	13.36562265
106	13.35878655
107	13.35289719
108	13.34651929
109	13.34096248
110	13.33577774
111	13.33063234
112	13.32422568
113	13.31696071
114	13.3116498
115	13.30525865
116	13.29499237
117	13.28589904
118	13.27743171
119	13.27202397
120	13.26703742
121	13.26193743
122	13.25091842
123	13.24575026
124	13.24132318
125	13.23634778
126	13.23190579
127	13.22668093
128	13.22157186
129	13.21692595
130	13.21220623
131	13.20762719
132	13.20279709
133	13.1994526
134	13.19578545
135	13.19148563
136	13.18667259
137	13.18227667
138	13.17855528
139	13.17412905
140	13.17046967
141	13.16605515
142	13.16208127
143	13.15578766
144	13.15129232
145	13.1463949
146	13.14229736
147	13.13825118
148	13.13417807
149	13.13038125
150	13.12664105
151	13.12306898
152	13.11836583
153	13.11487851
154	13.1104149
155	13.10215652
156	13.09880945
157	13.09583144
158	13.0912835
159	13.0879262
160	13.08483383
161	13.08100814
162	13.07794318
163	13.07488115
164	13.07191512
165	13.06870026
166	13.0629529
167	13.06052058
168	13.05740785
169	13.05457421
170	13.04673434
171	13.04364993
172	13.03475431
173	13.03131233
174	13.02869234
175	13.02592843
176	13.02286168
177	13.02002234
178	13.01686184
179	13.0142351
180	13.01089726
181	13.00812928
182	13.00595081
183	13.00298213
184	12.99597167
185	12.99271622
186	12.98509007
187	12.98248308
188	12.97972792
189	12.97742318
190	12.97536238
191	12.97308049
192	12.97084966
193	12.96825735
194	12.96564489
195	12.96396465
196	12.96168685
197	12.96017618
198	12.95799343
199	12.95208497
