iter	Passed	Remaining
0	0	109
1	1	107
2	1	108
3	2	110
4	2	110
5	3	110
6	3	109
7	4	107
8	5	107
9	5	109
10	6	108
11	6	107
12	7	107
13	8	106
14	8	106
15	9	105
16	9	104
17	10	103
18	10	102
19	11	102
20	11	102
21	12	101
22	13	101
23	13	100
24	14	99
25	14	98
26	15	98
27	15	97
28	16	96
29	16	96
30	17	95
31	17	94
32	18	93
33	19	93
34	19	93
35	20	92
36	20	92
37	21	91
38	22	91
39	22	90
40	23	90
41	23	89
42	24	89
43	25	88
44	25	88
45	26	87
46	26	87
47	27	86
48	27	86
49	28	85
50	29	84
51	29	84
52	30	83
53	30	83
54	31	82
55	32	82
56	32	81
57	33	81
58	33	80
59	34	79
60	34	79
61	35	78
62	35	77
63	36	76
64	36	76
65	37	75
66	37	74
67	38	74
68	38	73
69	39	72
70	39	71
71	40	71
72	40	70
73	41	69
74	41	69
75	42	68
76	42	68
77	43	67
78	43	66
79	44	66
80	44	65
81	45	65
82	45	64
83	46	64
84	47	63
85	47	63
86	48	62
87	48	62
88	49	61
89	49	60
90	50	60
91	50	59
92	51	59
93	51	58
94	52	57
95	52	57
96	53	56
97	53	55
98	54	55
99	54	54
100	55	54
101	55	53
102	56	52
103	56	52
104	57	51
105	57	51
106	58	50
107	59	50
108	59	49
109	60	49
110	60	48
111	61	48
112	62	47
113	62	47
114	63	46
115	64	46
116	64	45
117	65	45
118	65	44
119	66	44
120	67	43
121	67	43
122	68	42
123	68	42
124	69	41
125	70	41
126	70	40
127	71	39
128	71	39
129	72	38
130	72	38
131	73	37
132	73	37
133	74	36
134	74	35
135	75	35
136	75	34
137	75	34
138	76	33
139	76	32
140	77	32
141	77	31
142	78	31
143	78	30
144	79	30
145	79	29
146	80	29
147	81	28
148	81	27
149	81	27
150	82	26
151	82	26
152	83	25
153	83	25
154	84	24
155	85	24
156	85	23
157	86	23
158	87	22
159	87	21
160	88	21
161	89	20
162	89	20
163	90	19
164	90	19
165	91	18
166	91	18
167	92	17
168	92	17
169	93	16
170	93	15
171	94	15
172	95	14
173	95	14
174	96	13
175	96	13
176	97	12
177	98	12
178	98	11
179	99	11
180	99	10
181	100	9
182	100	9
183	101	8
184	102	8
185	102	7
186	103	7
187	103	6
188	104	6
189	105	5
190	105	4
191	106	4
192	106	3
193	107	3
194	107	2
195	107	2
196	108	1
197	108	1
198	109	0
199	109	0
