일시,댐수위(ELm),강우량(mm),유입량(㎡/sec),총방류량(㎡/sec),저수량(백만㎥/sec),저수율(%)
2015-01-01 01시 ,66.12,0,2.6,2.6,53,45.3
2015-01-01 02시 ,66.12,0,3,3,53,45.3
2015-01-01 03시 ,66.12,0,3.1,3.1,53,45.3
2015-01-01 04시 ,66.12,0,3,3,53,45.3
2015-01-01 05시 ,66.12,0,2.9,2.9,53,45.3
2015-01-01 06시 ,66.12,0,2.8,2.8,53,45.3
2015-01-01 07시 ,66.12,0,2.7,2.7,53,45.3
2015-01-01 08시 ,66.12,0,2.7,2.7,53,45.3
2015-01-01 09시 ,66.12,0,2.5,2.5,53,45.3
2015-01-01 10시 ,66.11,0,0,2.5,52.96,45.3
2015-01-01 11시 ,66.11,0,2.6,2.6,52.96,45.3
2015-01-01 12시 ,66.11,0,2.9,2.9,52.96,45.3
2015-01-01 13시 ,66.11,0,2.9,2.9,52.96,45.3
2015-01-01 14시 ,66.11,0,2.9,2.9,52.96,45.3
2015-01-01 15시 ,66.11,0,3,3,52.96,45.3
2015-01-01 16시 ,66.1,0,0,2.9,52.91,45.3
2015-01-01 17시 ,66.1,0,2.8,2.8,52.91,45.3
2015-01-01 18시 ,66.1,0,2.5,2.5,52.91,45.3
2015-01-01 19시 ,66.1,0,2.3,2.3,52.91,45.3
2015-01-01 20시 ,66.1,0,2,2,52.91,45.3
2015-01-01 21시 ,66.1,0,2.3,2.3,52.91,45.3
2015-01-01 22시 ,66.1,0,2.7,2.7,52.91,45.3
2015-01-01 23시 ,66.1,0,2.7,2.7,52.91,45.3
2015-01-01 24시 ,66.1,0,2.9,2.9,52.91,45.3
2015-01-02 01시 ,66.1,0,2.9,2.9,52.91,45.3
2015-01-02 02시 ,66.1,0,2.9,2.9,52.91,45.3
2015-01-02 03시 ,66.1,0,2.9,2.9,52.91,45.3
2015-01-02 04시 ,66.1,0,2.9,2.9,52.91,45.3
2015-01-02 05시 ,66.1,0,2.7,2.7,52.91,45.3
2015-01-02 06시 ,66.1,0,2.6,2.6,52.91,45.3
2015-01-02 07시 ,66.1,0,2,2,52.91,45.3
2015-01-02 08시 ,66.1,0,2.4,2.4,52.91,45.3
2015-01-02 09시 ,66.1,0,2.9,2.9,52.91,45.3
2015-01-02 10시 ,66.1,0,2.7,2.7,52.91,45.3
2015-01-02 11시 ,66.1,0.7,2.7,2.7,52.91,45.3
2015-01-02 12시 ,66.1,0.6,2.7,2.7,52.91,45.3
2015-01-02 13시 ,66.1,0.4,2.7,2.7,52.91,45.3
2015-01-02 14시 ,66.1,0,2.7,2.7,52.91,45.3
2015-01-02 15시 ,66.1,0,2.7,2.7,52.91,45.3
2015-01-02 16시 ,66.1,0,2.8,2.8,52.91,45.3
2015-01-02 17시 ,66.1,0,2.8,2.8,52.91,45.3
2015-01-02 18시 ,66.1,0,2.8,2.8,52.91,45.3
2015-01-02 19시 ,66.1,0,2.8,2.8,52.91,45.3
2015-01-02 20시 ,66.1,0,2.8,2.8,52.91,45.3
2015-01-02 21시 ,66.1,0,2.5,2.5,52.91,45.3
2015-01-02 22시 ,66.1,0,2.4,2.4,52.91,45.3
2015-01-02 23시 ,66.1,0,2.3,2.3,52.91,45.3
2015-01-02 24시 ,66.1,0,2.5,2.5,52.91,45.3
2015-01-03 01시 ,66.1,0,2.4,2.4,52.91,45.3
2015-01-03 02시 ,66.1,0,2.4,2.4,52.91,45.3
