일시,댐수위(ELm),강우량(mm),유입량(㎡/sec),총방류량(㎡/sec),저수량(백만㎥/sec),저수율(%)
2015-01-01,66.1,0,1.7,2.7,52.91,45.3
2015-01-02,66.1,1.7,2.7,2.7,52.91,45.3
2015-01-03,66.08,0,1.6,2.6,52.83,45.2
2015-01-04,66.06,0,1.7,2.7,52.74,45.1
2015-01-05,66.04,13.2,1.8,2.8,52.65,45
2015-01-06,66.07,4.1,4.2,2.7,52.78,45.2
2015-01-07,66.08,0,3.2,2.7,52.83,45.2
2015-01-08,66.08,0,2.6,2.6,52.83,45.2
2015-01-09,66.12,0,4.7,2.7,53,45.3
2015-01-10,66.12,0,2.7,2.7,53,45.3
2015-01-11,66.12,0,2.6,2.6,53,45.3
2015-01-12,66.11,0,2.1,2.6,52.96,45.3
2015-01-13,66.1,0,2,2.5,52.91,45.3
2015-01-14,66.08,0,1.7,2.7,52.83,45.2
2015-01-15,66.06,0,1.6,2.6,52.74,45.1
2015-01-16,66.03,0,1,2.5,52.61,45
2015-01-17,66.02,0,2,2.5,52.57,45
2015-01-18,65.99,4.7,1.2,2.7,52.44,44.9
2015-01-19,65.98,0,2,2.5,52.39,44.8
2015-01-20,65.96,0,1.5,2.5,52.31,44.7
2015-01-21,65.94,4.7,1.6,2.6,52.22,44.7
2015-01-22,65.91,1,1.1,2.6,52.09,44.6
2015-01-23,65.89,0,1.6,2.6,52,44.5
2015-01-24,65.86,0,1.1,2.6,51.87,44.4
2015-01-25,65.84,6.2,1.7,2.7,51.79,44.3
2015-01-26,65.82,0,1.5,2.5,51.7,44.2
2015-01-27,65.8,0,1.6,2.6,51.61,44.2
2015-01-28,65.78,0,1.6,2.7,51.52,44.1
2015-01-29,65.76,0,1.7,2.7,51.44,44
2015-01-30,65.73,0,1.2,2.7,51.31,43.9
2015-01-31,65.7,0,1.1,2.6,51.18,43.8
2015-02-01,65.68,0,1.6,2.6,51.09,43.7
2015-02-02,65.65,0,1.1,2.6,50.96,43.6
2015-02-03,65.62,0,1.1,2.7,50.83,43.5
2015-02-04,65.58,0,0.6,2.6,50.66,43.3
2015-02-05,65.55,0,1.2,2.7,50.53,43.2
2015-02-06,65.51,0,0.7,2.7,50.35,43.1
2015-02-07,65.47,0,0.7,2.7,50.18,42.9
2015-02-08,65.44,0,1,2.5,50.05,42.8
2015-02-09,65.4,0,0.5,2.5,49.87,42.7
2015-02-10,65.36,0,0.6,2.6,49.7,42.5
2015-02-11,65.33,0,1.2,2.7,49.57,42.4
2015-02-12,65.29,0,0.5,2.6,49.4,42.3
2015-02-13,65.25,0,0.6,2.6,49.22,42.1
2015-02-14,65.22,0,1.2,2.7,49.09,42
2015-02-15,65.18,2.1,0.6,2.6,48.92,41.9
2015-02-16,65.16,13.9,1.6,2.6,48.83,41.8
2015-02-17,65.13,0,1.2,2.7,48.7,41.7
2015-02-18,65.1,0,1.2,2.7,48.57,41.6
2015-02-19,65.07,0,1,2.5,48.44,41.4
2015-02-20,65.04,0,1.1,2.6,48.31,41.3
2015-02-21,65.02,9,1.5,2.5,48.23,41.3
2015-02-22,65.01,2.4,2,2.5,48.18,41.2
2015-02-23,65,0,2,2.5,48.14,41.2
2015-02-24,64.98,0,1.5,2.5,48.05,41.1
2015-02-25,64.96,0,1.6,2.6,47.97,41
2015-02-26,64.93,0,1.1,2.6,47.84,40.9
2015-02-27,64.91,0,1.6,2.6,47.75,40.9
2015-02-28,64.88,0,1.1,2.6,47.62,40.7
2015-03-01,64.86,0.3,1.6,2.6,47.54,40.7
2015-03-02,64.83,0,1,2.5,47.41,40.6
2015-03-03,64.8,4.1,1.1,2.6,47.28,40.4
2015-03-04,64.77,0,0.9,2.4,47.15,40.3
2015-03-05,64.75,0,1.5,2.5,47.06,40.3
2015-03-06,64.71,0,0.6,2.6,46.89,40.1
2015-03-07,64.68,0,1.1,2.6,46.76,40
2015-03-08,64.64,0,0.5,2.5,46.59,39.9
2015-03-09,64.59,0,0,2.5,46.38,39.7
2015-03-10,64.56,0,1,2.5,46.25,39.6
2015-03-11,64.52,0,0.5,2.4,46.08,39.4
2015-03-12,64.49,0,1,2.5,45.95,39.3
2015-03-13,64.45,0.4,0.4,2.4,45.78,39.2
2015-03-14,64.41,0,0.5,2.5,45.61,39
2015-03-15,64.37,0,0.5,2.5,45.44,38.9
2015-03-16,64.33,0,0.5,2.5,45.27,38.7
2015-03-17,64.29,0,0.6,2.6,45.1,38.6
2015-03-18,64.29,27.8,2.6,2.6,45.1,38.6
2015-03-19,64.29,0,2.6,2.6,45.1,38.6
2015-03-20,64.28,0,2.1,2.6,45.05,38.5
2015-03-21,64.26,0,1.5,2.5,44.97,38.5
2015-03-22,64.24,0,1.4,2.4,44.88,38.4
2015-03-23,64.22,0,1.5,2.5,44.8,38.3
2015-03-24,64.19,0,1,2.4,44.67,38.2
2015-03-25,64.16,0,1.1,2.6,44.54,38.1
2015-03-26,64.13,0,1.1,2.6,44.42,38
2015-03-27,64.09,0,0.6,2.6,44.25,37.9
2015-03-28,64.06,0,1.1,2.5,44.12,37.7
2015-03-29,64.02,0,0.6,2.6,43.95,37.6
2015-03-30,63.99,0,1,2.5,43.83,37.5
2015-03-31,63.97,7.7,1.6,2.6,43.74,37.4
2015-04-01,63.94,1,1.2,2.6,43.62,37.3
2015-04-02,63.91,26.5,1.2,2.7,43.49,37.2
2015-04-03,64.14,18.4,13.9,2.7,44.46,38
2015-04-04,64.29,13.3,10.2,2.8,45.1,38.6
2015-04-05,64.43,2.6,9.6,2.7,45.69,39.1
2015-04-06,64.56,1.4,9.1,2.7,46.25,39.6
2015-04-07,64.63,0,6.2,2.8,46.55,39.8
2015-04-08,64.69,0,5.6,2.6,46.8,40
2015-04-09,64.72,0,4.2,2.8,46.93,40.2
2015-04-10,64.73,0,3.3,2.8,46.98,40.2
2015-04-11,64.73,0,3,3,46.98,40.2
2015-04-12,64.73,0,2.9,2.9,46.98,40.2
2015-04-13,64.72,1.3,2.2,2.7,46.93,40.2
2015-04-14,64.72,7.5,2.8,2.8,46.93,40.2
2015-04-15,64.7,0.7,1.9,2.9,46.85,40.1
2015-04-16,64.68,2.4,1.9,2.9,46.76,40
2015-04-17,64.66,0,1.9,2.9,46.68,39.9
2015-04-18,64.62,7.2,1,3,46.5,39.8
2015-04-19,64.62,14.3,2.9,2.9,46.5,39.8
2015-04-20,64.65,7.1,4.3,2.8,46.63,39.9
2015-04-21,64.67,0,3.9,2.9,46.72,40
2015-04-22,64.67,0.3,2.9,2.9,46.72,40
2015-04-23,64.67,0,3,3,46.72,40
2015-04-24,64.67,0,2.9,2.9,46.72,40
2015-04-25,64.66,0,2.5,3,46.68,39.9
2015-04-26,64.63,0,1.5,3,46.55,39.8
2015-04-27,64.6,0,1.4,2.9,46.42,39.7
2015-04-28,64.56,7.6,1,2.9,46.25,39.6
2015-04-29,64.59,23.2,4.3,2.8,46.38,39.7
2015-04-30,64.59,0,2.9,2.9,46.38,39.7
2015-05-01,64.59,0,2.8,2.8,46.38,39.7
2015-05-02,64.58,1.1,2.4,2.9,46.33,39.6
2015-05-03,64.58,10.6,2.8,2.8,46.33,39.6
2015-05-04,64.57,0.7,2.4,2.9,46.29,39.6
2015-05-05,64.54,0,1.4,2.9,46.16,39.5
2015-05-06,64.51,0,1.3,2.8,46.03,39.4
2015-05-07,64.47,0,1,3,45.86,39.2
2015-05-08,64.43,0,1,3,45.69,39.1
2015-05-09,64.39,0,1,3,45.52,38.9
2015-05-10,64.34,0,0.5,3,45.31,38.8
2015-05-11,64.31,27.6,1.5,2.9,45.18,38.7
2015-05-12,64.4,9.4,7.4,3,45.56,39
2015-05-13,64.4,0,3,3,45.56,39
2015-05-14,64.39,0,2.8,3.2,45.52,38.9
2015-05-15,64.36,0,1.7,3.2,45.39,38.8
2015-05-16,64.33,0,1.7,3.2,45.27,38.7
2015-05-17,64.29,0,1.2,3.2,45.1,38.6
2015-05-18,64.24,0,0.6,3,44.88,38.4
2015-05-19,64.19,0.6,0.7,3.1,44.67,38.2
2015-05-20,64.15,0,1.1,3.1,44.5,38.1
2015-05-21,64.1,0,0.7,3.2,44.29,37.9
2015-05-22,64.05,0,0.9,3.4,44.08,37.7
2015-05-23,63.99,0,0.3,3.2,43.83,37.5
2015-05-24,63.93,0,0.4,3.4,43.58,37.3
2015-05-25,63.87,0,0.4,3.3,43.33,37.1
2015-05-26,63.81,0,0.5,3.4,43.08,36.9
2015-05-27,63.74,0,0,3.3,42.79,36.6
2015-05-28,63.68,0,0.4,3.3,42.54,36.4
2015-05-29,63.61,0,0,3.4,42.25,36.1
2015-05-30,63.55,2.5,0.4,3.2,42,35.9
2015-05-31,63.49,0,0.3,3.2,41.76,35.7
2015-06-01,63.42,0,0,3.3,41.47,35.5
2015-06-02,63.35,0,0.1,3.4,41.19,35.2
2015-06-03,63.28,0,0.1,3.4,40.9,35
2015-06-04,63.21,0,0.1,3.4,40.62,34.8
2015-06-05,63.14,0,0.1,3.4,40.34,34.5
2015-06-06,63.06,0,0,3.4,40.03,34.2
2015-06-07,62.99,0,0.2,3.4,39.75,34
2015-06-08,62.92,0,0.2,3.4,39.47,33.8
2015-06-09,62.84,0,0,3.5,39.16,33.5
2015-06-10,62.76,0,0,3.5,38.85,33.2
2015-06-11,62.69,10.4,0.3,3.4,38.58,33
2015-06-12,62.63,1.7,0.7,3.4,38.35,32.8
2015-06-13,62.56,0,0.5,3.5,38.08,32.6
2015-06-14,62.5,5.8,0.8,3.4,37.86,32.4
2015-06-15,62.43,0,0.4,3.4,37.6,32.2
2015-06-16,62.35,0,0.2,3.6,37.3,31.9
2015-06-17,62.27,0,0.2,3.7,37,31.7
2015-06-18,62.19,1.1,0.3,3.7,36.71,31.4
2015-06-19,62.11,0,0.4,3.7,36.42,31.2
2015-06-20,62.07,30.5,1.9,3.6,36.27,31
2015-06-21,62.04,0,2.5,3.8,36.17,30.9
2015-06-22,61.98,0.4,1.2,3.7,35.95,30.8
2015-06-23,61.9,0,0.5,3.8,35.67,30.5
2015-06-24,61.82,0,0.6,3.8,35.39,30.3
2015-06-25,61.75,16.5,0.9,3.7,35.15,30.1
2015-06-26,61.89,38.2,9.5,3.8,35.63,30.5
2015-06-27,61.89,0,3.7,3.7,35.63,30.5
2015-06-28,61.83,0,1.2,3.7,35.42,30.3
2015-06-29,61.77,0,1.3,3.7,35.22,30.1
2015-06-30,61.7,0.3,0.9,3.7,34.98,29.9
