일시,댐수위(ELm),강우량(mm),유입량(㎡/sec),총방류량(㎡/sec),저수량(백만㎥/sec),저수율(%)
2015-01-01 01시 ,165.72,0,0,109,"1,146.75",39.5
2015-01-01 02시 ,165.72,0,115.4,115.4,"1,146.75",39.5
2015-01-01 03시 ,165.73,0,96.5,0,"1,147.09",39.6
2015-01-01 04시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 05시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 06시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 07시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 08시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 09시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 10시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 11시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 12시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 13시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 14시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 15시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 16시 ,165.73,0,0,0,"1,147.09",39.6
2015-01-01 17시 ,165.72,0,7.7,104.2,"1,146.75",39.5
2015-01-01 18시 ,165.7,0,0,114.2,"1,146.05",39.5
2015-01-01 19시 ,165.7,0,113.9,113.9,"1,146.05",39.5
2015-01-01 20시 ,165.69,0,8.6,105.1,"1,145.7",39.5
2015-01-01 21시 ,165.67,0,0,76.2,"1,145.01",39.5
2015-01-01 22시 ,165.67,0,105.5,105.5,"1,145.01",39.5
2015-01-01 23시 ,165.66,0,24,120.4,"1,144.66",39.5
2015-01-01 24시 ,165.65,0,18,114.3,"1,144.32",39.5
2015-01-02 01시 ,165.64,0,0,0,"1,143.97",39.5
2015-01-02 02시 ,165.65,0,96.3,0,"1,144.32",39.5
2015-01-02 03시 ,165.65,0,0,0,"1,144.32",39.5
2015-01-02 04시 ,165.65,0,0,0,"1,144.32",39.5
2015-01-02 05시 ,165.65,0,0,0,"1,144.32",39.5
2015-01-02 06시 ,165.65,0,0,0,"1,144.32",39.5
2015-01-02 07시 ,165.65,0,0,0,"1,144.32",39.5
2015-01-02 08시 ,165.65,0,0,0,"1,144.32",39.5
2015-01-02 09시 ,165.64,0,11.4,107.8,"1,143.97",39.5
2015-01-02 10시 ,165.63,0,17.7,114,"1,143.62",39.4
2015-01-02 11시 ,165.62,0,0,0,"1,143.28",39.4
2015-01-02 12시 ,165.63,0,96.3,0,"1,143.62",39.4
2015-01-02 13시 ,165.63,0,0,0,"1,143.62",39.4
2015-01-02 14시 ,165.61,0,0,112.5,"1,142.93",39.4
2015-01-02 15시 ,165.6,0,18.7,114.9,"1,142.58",39.4
2015-01-02 16시 ,165.6,0,0,0,"1,142.58",39.4
2015-01-02 17시 ,165.59,0,302.1,109.7,"1,142.24",39.4
2015-01-02 18시 ,165.58,0,19.4,115.6,"1,141.89",39.4
2015-01-02 19시 ,165.56,0,0,116.2,"1,141.2",39.4
2015-01-02 20시 ,165.55,0,0,115.4,"1,140.85",39.3
2015-01-02 21시 ,165.54,0,18.9,115,"1,140.51",39.3
2015-01-02 22시 ,165.53,0,0,78.8,"1,140.16",39.3
2015-01-02 23시 ,165.53,0,0,0,"1,140.16",39.3
2015-01-02 24시 ,165.54,0,96.1,0,"1,140.51",39.3
