일시,댐수위(ELm),강우량(mm),유입량(㎡/sec),총방류량(㎡/sec),저수량(백만㎥/sec),저수율(%)
2015-01-01,165.65,0,4.7,44.9,"1,144.32",39.5
2015-01-02,165.54,0,1.7,45.8,"1,140.51",39.3
2015-01-03,165.43,0,1.1,45.1,"1,136.71",39.2
2015-01-04,165.33,0,5.2,45.1,"1,133.26",39.1
2015-01-05,165.22,0.1,1.7,45.4,"1,129.48",39
2015-01-06,165.12,1.5,5.4,45,"1,126.06",38.8
2015-01-07,165.01,0,1.5,45,"1,122.3",38.7
2015-01-08,164.9,0,1.7,45,"1,118.55",38.6
2015-01-09,164.8,0,5.7,45,"1,115.15",38.5
2015-01-10,164.69,0,1.7,44.9,"1,111.42",38.3
2015-01-11,164.58,0.8,2.1,45.1,"1,107.7",38.2
2015-01-12,164.47,0,2.1,45.1,"1,103.99",38.1
2015-01-13,164.36,0,2.6,45.4,"1,100.3",37.9
2015-01-14,164.26,0,6.2,45,"1,096.94",37.8
2015-01-15,164.15,0,2.3,44.9,"1,093.26",37.7
2015-01-16,164.04,0.4,2.4,44.8,"1,089.6",37.6
2015-01-17,163.93,0,2.2,44.6,"1,085.94",37.5
2015-01-18,163.82,1,2.9,45.1,"1,082.29",37.3
2015-01-19,163.71,0.8,3,45.1,"1,078.65",37.2
2015-01-20,163.6,0,2,43.9,"1,075.02",37.1
2015-01-21,163.49,0,3,44.9,"1,071.41",37
2015-01-22,163.38,0.5,3.7,45.4,"1,067.8",36.8
2015-01-23,163.27,0,3.2,44.9,"1,064.2",36.7
2015-01-24,163.16,0,3.3,44.8,"1,060.61",36.6
2015-01-25,163.06,3,7.6,45.2,"1,057.36",36.5
2015-01-26,162.95,2.2,3.7,45,"1,053.79",36.3
2015-01-27,162.84,0,5.5,46.7,"1,050.23",36.2
2015-01-28,162.74,0,7.6,45,"1,047.01",36.1
2015-01-29,162.62,0,0.1,44.8,"1,043.15",36
2015-01-30,162.5,0,0.3,44.8,"1,039.3",35.8
2015-01-31,162.38,0,0.2,44.6,"1,035.46",35.7
2015-02-01,162.26,0,0.9,45.1,"1,031.63",35.6
2015-02-02,162.15,0,4.7,45.2,"1,028.14",35.5
2015-02-03,162.03,0,0.8,44.8,"1,024.33",35.3
2015-02-04,161.91,0,0.8,44.6,"1,020.54",35.2
2015-02-05,161.81,0.1,8.3,44.8,"1,017.39",35.1
2015-02-06,161.69,0,1.2,44.9,"1,013.62",35
2015-02-07,161.57,0,1.1,44.7,"1,009.86",34.8
2015-02-08,161.45,0,1.7,45.1,"1,006.11",34.7
2015-02-09,161.33,0,1.8,45,"1,002.38",34.6
2015-02-10,161.21,0,2,45.1,998.65,34.4
2015-02-11,161.09,0,2,45,994.94,34.3
2015-02-12,160.97,0,2,44.9,991.23,34.2
2015-02-13,160.85,0,2.2,44.9,987.54,34.1
2015-02-14,160.73,0,2.3,44.9,983.86,33.9
2015-02-15,160.61,0,2.6,45.1,980.19,33.8
2015-02-16,160.5,7,6,44.8,976.84,33.7
2015-02-17,160.39,3.9,6.3,45,973.5,33.6
2015-02-18,160.28,1.6,6.1,44.7,970.16,33.5
2015-02-19,160.17,0.1,6.5,45,966.84,33.3
2015-02-20,160.05,0,2.9,44.7,963.22,33.2
