일시,댐수위(ELm),강우량(mm),유입량(㎡/sec),총방류량(㎡/sec),저수량(백만㎥/sec),저수율(%)
2015-01-01 01시 ,149.49,0,60.6,60.6,729.4,58.5
2015-01-01 02시 ,149.47,0,0,62.7,728.62,58.4
2015-01-01 03시 ,149.48,0,109,0.9,729.01,58.4
2015-01-01 04시 ,149.48,0,0,0,729.01,58.4
2015-01-01 05시 ,149.48,0,0,0,729.01,58.4
2015-01-01 06시 ,149.48,0,0,0,729.01,58.4
2015-01-01 07시 ,149.48,0,0,0,729.01,58.4
2015-01-01 08시 ,149.48,0,0,0,729.01,58.4
2015-01-01 09시 ,149.49,0,108.1,0,729.4,58.5
2015-01-01 10시 ,149.48,0,0,43.8,729.01,58.4
2015-01-01 11시 ,149.48,0,0.4,0.4,729.01,58.4
2015-01-01 12시 ,149.48,0,0,0,729.01,58.4
2015-01-01 13시 ,149.48,0,0,0,729.01,58.4
2015-01-01 14시 ,149.48,0,0,0,729.01,58.4
2015-01-01 15시 ,149.48,0,0,0,729.01,58.4
2015-01-01 16시 ,149.49,0,108.1,0,729.4,58.5
2015-01-01 17시 ,149.48,0,0,0,729.01,58.4
2015-01-01 18시 ,149.48,0,0,0,729.01,58.4
2015-01-01 19시 ,149.47,0,0,60.1,728.62,58.4
2015-01-01 20시 ,149.47,0,11,11,728.62,58.4
2015-01-01 21시 ,149.47,0,0,0,728.62,58.4
2015-01-01 22시 ,149.48,0,108.1,0,729.01,58.4
2015-01-01 23시 ,149.48,0,0,0,729.01,58.4
2015-01-01 24시 ,149.48,0,0,0,729.01,58.4
2015-01-02 01시 ,149.48,0,0,0,729.01,58.4
2015-01-02 02시 ,149.48,0,0,0,729.01,58.4
2015-01-02 03시 ,149.48,0,0,0,729.01,58.4
2015-01-02 04시 ,149.48,0,0,0,729.01,58.4
2015-01-02 05시 ,149.48,0,0,0,729.01,58.4
2015-01-02 06시 ,149.48,0,0,0,729.01,58.4
2015-01-02 07시 ,149.48,0,0,0,729.01,58.4
2015-01-02 08시 ,149.48,0,0.4,0.4,729.01,58.4
2015-01-02 09시 ,149.47,0,0,59.6,728.62,58.4
2015-01-02 10시 ,149.47,0,64.1,64.1,728.62,58.4
2015-01-02 11시 ,149.46,0,0,64.1,728.23,58.4
2015-01-02 12시 ,149.46,0,52.8,52.8,728.23,58.4
2015-01-02 13시 ,149.45,0,0,0,727.84,58.3
2015-01-02 14시 ,149.46,0,108,0,728.23,58.4
2015-01-02 15시 ,149.46,0,0,0,728.23,58.4
2015-01-02 16시 ,149.45,0,0,0,727.84,58.3
2015-01-02 17시 ,149.45,0,0,0,727.84,58.3
2015-01-02 18시 ,149.46,0,108,0,728.23,58.4
2015-01-02 19시 ,149.46,0,0,0,728.23,58.4
2015-01-02 20시 ,149.46,0,0,0,728.23,58.4
2015-01-02 21시 ,149.46,0,0,0,728.23,58.4
2015-01-02 22시 ,149.46,0,0,0,728.23,58.4
2015-01-02 23시 ,149.46,0,0,0,728.23,58.4
2015-01-02 24시 ,149.46,0,0,0,728.23,58.4
2015-01-03 01시 ,149.46,0,0,0,728.23,58.4
2015-01-03 02시 ,149.46,0,0,0,728.23,58.4
2015-01-03 03시 ,149.46,0,0,0,728.23,58.4
2015-01-03 04시 ,149.46,0,0,0,728.23,58.4
2015-01-03 05시 ,149.46,0,0,0,728.23,58.4
2015-01-03 06시 ,149.46,0,0,0,728.23,58.4
2015-01-03 07시 ,149.46,0,0,0,728.23,58.4
2015-01-03 08시 ,149.46,0,0,0,728.23,58.4
2015-01-03 09시 ,149.46,0,60.3,60.3,728.23,58.4
2015-01-03 10시 ,149.46,0,62.9,62.9,728.23,58.4
2015-01-03 11시 ,149.45,0,0,64,727.84,58.3
2015-01-03 12시 ,149.44,0,0,64.2,727.45,58.3
2015-01-03 13시 ,149.45,0,109.6,1.6,727.84,58.3
2015-01-03 14시 ,149.44,0,0,0,727.45,58.3
2015-01-03 15시 ,149.44,0,0,0,727.45,58.3
2015-01-03 16시 ,149.44,0,0,0,727.45,58.3
2015-01-03 17시 ,149.44,0,0,0,727.45,58.3
2015-01-03 18시 ,149.44,0,34.8,34.8,727.45,58.3
2015-01-03 19시 ,149.44,0,0,0,727.45,58.3
2015-01-03 20시 ,149.44,0,0,0,727.45,58.3
2015-01-03 21시 ,149.44,0,0,0,727.45,58.3
2015-01-03 22시 ,149.44,0,0,0,727.45,58.3
2015-01-03 23시 ,149.44,0,0,0,727.45,58.3
2015-01-03 24시 ,149.44,0,0,0,727.45,58.3
2015-01-04 01시 ,149.44,0,0,0,727.45,58.3
2015-01-04 02시 ,149.44,0,0,0,727.45,58.3
2015-01-04 03시 ,149.44,0,0,0,727.45,58.3
2015-01-04 04시 ,149.44,0,0,0,727.45,58.3
2015-01-04 05시 ,149.44,0,0,0,727.45,58.3
2015-01-04 06시 ,149.44,0,0,0,727.45,58.3
2015-01-04 07시 ,149.44,0,0,0,727.45,58.3
2015-01-04 08시 ,149.44,0,0,0,727.45,58.3
2015-01-04 09시 ,149.44,0,0.4,0.4,727.45,58.3
2015-01-04 10시 ,149.44,0,57.9,57.9,727.45,58.3
2015-01-04 11시 ,149.44,0,0.8,0.8,727.45,58.3
