일시,댐수위(ELm),강우량(mm),유입량(㎡/sec),총방류량(㎡/sec),저수량(백만㎥/sec),저수율(%)
2015-01-01,149.48,0,5.5,10,729.01,58.4
2015-01-02,149.46,0,1,10,728.23,58.4
2015-01-03,149.44,0,3,12,727.45,58.3
2015-01-04,149.42,0,3,12,726.68,58.2
2015-01-05,149.41,0,7.8,12.2,726.29,58.2
2015-01-06,149.39,2.7,3,12,725.51,58.1
2015-01-07,149.38,0,7.5,12,725.12,58.1
2015-01-08,149.36,0,3,11.9,724.35,58
2015-01-09,149.34,0,3.1,12,723.57,58
2015-01-10,149.32,0,3.1,12,722.8,57.9
2015-01-11,149.3,0.3,3.1,12,722.03,57.9
2015-01-12,149.28,0,3,12,721.25,57.8
2015-01-13,149.26,0,3.1,12.1,720.48,57.7
2015-01-14,149.2,0,5.2,32,718.17,57.6
2015-01-15,149.14,0.1,5.2,32,715.86,57.4
2015-01-16,149.07,0,1,32.1,713.17,57.2
2015-01-17,149.01,0,5.4,32,710.87,57
2015-01-18,148.94,0,1.2,32.1,708.2,56.8
2015-01-19,148.87,2.2,1.3,32.1,705.53,56.5
2015-01-20,148.82,0,9.4,31.4,703.63,56.4
2015-01-21,148.75,0.3,1.2,32,700.98,56.2
2015-01-22,148.69,2.6,5.7,32,698.71,56
2015-01-23,148.63,0,5.7,31.9,696.45,55.8
2015-01-24,148.61,0,3.3,12,695.69,55.7
2015-01-25,148.6,2.2,7.8,12.2,695.32,55.7
2015-01-26,148.59,2.5,7.7,12,694.94,55.7
2015-01-27,148.57,0,3.2,11.9,694.19,55.6
2015-01-28,148.56,0,7.6,11.9,693.81,55.6
2015-01-29,148.54,0.5,3.2,11.9,693.06,55.5
2015-01-30,148.53,0.1,7.6,11.9,692.68,55.5
2015-01-31,148.51,0,3.5,12.1,691.93,55.4
2015-02-01,148.5,0,5.7,10,691.56,55.4
2015-02-02,148.46,0,2.7,20.1,690.06,55.3
2015-02-03,148.43,0,2.1,15.1,688.94,55.2
2015-02-04,148.41,0,6.7,15.4,688.19,55.1
2015-02-05,148.38,0,2.1,15,687.07,55.1
2015-02-06,148.35,0,2,15,685.95,55
2015-02-07,148.33,0,6.4,15.1,685.2,54.9
2015-02-08,148.31,0,1.3,9.9,684.46,54.8
2015-02-09,148.27,0,2.9,20.1,682.97,54.7
2015-02-10,148.24,0,2.2,15.1,681.86,54.6
2015-02-11,148.21,0,2,14.9,680.74,54.6
2015-02-12,148.19,0,6.5,15.1,680,54.5
2015-02-13,148.16,0,2.2,15,678.89,54.4
2015-02-14,148.13,0,2.1,15,677.78,54.3
2015-02-15,148.11,0,1.4,10,677.04,54.3
2015-02-16,148.09,5.9,11.5,20.1,676.3,54.2
2015-02-17,148.05,0.7,2.8,19.8,674.83,54.1
2015-02-18,148.03,0.3,6.7,15.3,674.09,54
2015-02-19,148.02,0,5.8,10,673.72,54
2015-02-20,147.99,0,2.1,14.8,672.62,53.9
2015-02-21,147.97,6.9,6.7,15.2,671.89,53.8
2015-02-22,147.96,0.7,5.9,10.1,671.52,53.8
2015-02-23,147.93,0,7.3,20,670.42,53.7
2015-02-24,147.91,0,6.6,15.1,669.69,53.7
2015-02-25,147.89,0,6.5,15,668.95,53.6
2015-02-26,147.88,0,10.9,15.2,668.59,53.6
2015-02-27,147.85,0,2.4,15.1,667.49,53.5
2015-02-28,147.82,0,2.4,15.1,666.39,53.4
2015-03-01,147.79,2,8.7,21.3,665.3,53.3
2015-03-02,147.7,0,3.3,41.2,662.02,53.1
2015-03-03,147.63,0,1.8,31.2,659.48,52.8
2015-03-04,147.57,0,6.1,31.2,657.31,52.7
2015-03-05,147.51,0,6.1,31.2,655.15,52.5
2015-03-06,147.44,0,1.8,31,652.63,52.3
2015-03-07,147.38,0,6.2,31.1,650.47,52.1
2015-03-08,147.33,0,0.6,21.3,648.68,52
2015-03-09,147.24,0,3.9,41.1,645.47,51.7
2015-03-10,147.17,0,2.4,31.2,642.98,51.5
2015-03-11,147.1,0,2.4,31.2,640.49,51.3
2015-03-12,147.04,0,6.7,31.2,638.37,51.2
2015-03-13,146.97,3,2.6,31.2,635.9,51
2015-03-14,146.9,0,2.7,31.2,633.44,50.8
2015-03-15,146.86,0,5,21.2,632.03,50.6
2015-03-16,146.77,0,4.7,41.1,628.88,50.4
2015-03-17,146.7,0,2.7,31,626.44,50.2
2015-03-18,146.67,24.4,19.3,31.4,625.39,50.1
2015-03-19,146.65,0.1,23.2,31.3,624.7,50.1
2015-03-20,146.64,0,27.2,31.2,624.35,50
2015-03-21,146.62,0,23,31,623.65,50
2015-03-22,146.59,0,9.2,21.3,622.61,49.9
2015-03-23,146.53,0,17.3,41.3,620.54,49.7
2015-03-24,146.49,0,15.2,31.2,619.15,49.6
