일시,댐수위(ELm),강우량(mm),유입량(㎡/sec),총방류량(㎡/sec),저수량(백만㎥/sec),저수율(%)
2015-01-01 01시 ,152.78,0,518.4,55.2,333.9,56.1
2015-01-01 02시 ,152.77,0,5.2,56.8,333.71,56.1
2015-01-01 03시 ,152.76,0,0,6.5,333.53,56.1
2015-01-01 04시 ,152.77,0,56.3,4.8,333.71,56.1
2015-01-01 05시 ,152.76,0,0,4.8,333.53,56.1
2015-01-01 06시 ,152.76,0,4.8,4.8,333.53,56.1
2015-01-01 07시 ,152.76,0,4.8,4.8,333.53,56.1
2015-01-01 08시 ,152.76,0,4.8,4.8,333.53,56.1
2015-01-01 09시 ,152.76,0,4.8,4.8,333.53,56.1
2015-01-01 10시 ,152.75,0,1.7,53.2,333.34,56
2015-01-01 11시 ,152.75,0,6.5,6.5,333.34,56
2015-01-01 12시 ,152.75,0,4.8,4.8,333.34,56
2015-01-01 13시 ,152.75,0,4.8,4.8,333.34,56
2015-01-01 14시 ,152.75,0,4.8,4.8,333.34,56
2015-01-01 15시 ,152.73,0,1.3,104.3,332.97,56
2015-01-01 16시 ,152.73,0,11.8,11.8,332.97,56
2015-01-01 17시 ,152.73,0,4.8,4.8,332.97,56
2015-01-01 18시 ,152.73,0,4.8,4.8,332.97,56
2015-01-01 19시 ,152.71,0,2.7,105.6,332.6,55.9
2015-01-01 20시 ,152.59,0,0,112,330.39,55.5
2015-01-01 21시 ,152.58,0,46.4,97.6,330.2,55.5
2015-01-01 22시 ,152.57,0,0,4.9,330.02,55.5
2015-01-01 23시 ,152.57,0,4.8,4.8,330.02,55.5
2015-01-01 24시 ,152.57,0,4.8,4.8,330.02,55.5
2015-01-02 01시 ,152.57,0,4.8,4.8,330.02,55.5
2015-01-02 02시 ,152.57,0,4.8,4.8,330.02,55.5
2015-01-02 03시 ,152.57,0,4.8,4.8,330.02,55.5
2015-01-02 04시 ,152.57,0,4.8,4.8,330.02,55.5
2015-01-02 05시 ,152.57,0,4.8,4.8,330.02,55.5
2015-01-02 06시 ,152.57,0,4.8,4.8,330.02,55.5
2015-01-02 07시 ,152.57,0,4.8,4.8,330.02,55.5
2015-01-02 08시 ,152.57,0,4.8,4.8,330.02,55.5
2015-01-02 09시 ,152.56,0,5.5,56.6,329.83,55.4
2015-01-02 10시 ,152.55,0,6.9,58.1,329.65,55.4
2015-01-02 11시 ,152.54,0,6.8,57.9,329.47,55.4
2015-01-02 12시 ,152.52,0,0,57.2,329.1,55.3
2015-01-02 13시 ,152.52,0,6.5,6.5,329.1,55.3
2015-01-02 14시 ,152.52,0,4.8,4.8,329.1,55.3
2015-01-02 15시 ,152.52,0,4.8,4.8,329.1,55.3
2015-01-02 16시 ,152.52,0,53.3,53.3,329.1,55.3
2015-01-02 17시 ,152.51,0,53.4,53.4,328.91,55.3
2015-01-02 18시 ,152.5,0,2.9,53.9,328.73,55.3
2015-01-02 19시 ,152.5,0,53.2,53.2,328.73,55.3
2015-01-02 20시 ,152.49,0,2.4,53.4,328.55,55.2
2015-01-02 21시 ,152.48,0,2,53,328.36,55.2
2015-01-02 22시 ,152.47,0,2,53,328.18,55.2
2015-01-02 23시 ,152.46,0,0,19.1,328,55.1
2015-01-02 24시 ,152.46,0,4.8,4.8,328,55.1
2015-01-03 01시 ,152.46,0,4.8,4.8,328,55.1
2015-01-03 02시 ,152.46,0,4.8,4.8,328,55.1
2015-01-03 03시 ,152.46,0,4.8,4.8,328,55.1
2015-01-03 04시 ,152.46,0,4.8,4.8,328,55.1
2015-01-03 05시 ,152.46,0,4.8,4.8,328,55.1
2015-01-03 06시 ,152.46,0,4.8,4.8,328,55.1
2015-01-03 07시 ,152.46,0,4.8,4.8,328,55.1
2015-01-03 08시 ,152.46,0,4.8,4.8,328,55.1
