일시,댐수위(ELm),강우량(mm),유입량(㎡/sec),총방류량(㎡/sec),저수량(백만㎥/sec),저수율(%)
2015-01-01,152.57,0,2.6,28.2,330.02,55.5
2015-01-02,152.46,0,5,28.4,328,55.1
2015-01-03,152.32,0,0.3,29.9,325.44,54.7
2015-01-04,152.21,0,1.8,25,323.43,54.4
2015-01-05,152.06,0,3.9,35.4,320.71,53.9
2015-01-06,151.93,3.8,2.8,30,318.37,53.5
2015-01-07,151.79,0,0.6,29.7,315.86,53.1
2015-01-08,151.65,0,1,29.9,313.36,52.7
2015-01-09,151.51,0,1.2,30,310.87,52.3
2015-01-10,151.37,0,1.3,30,308.4,51.8
2015-01-11,151.26,0,2.5,24.9,306.46,51.5
2015-01-12,151.1,0,2.5,35,303.66,51
2015-01-13,150.96,0,1.7,30,301.23,50.6
2015-01-14,150.92,0,1.9,9.9,300.53,50.5
2015-01-15,150.88,0,1.9,9.9,299.84,50.4
2015-01-16,150.84,0,1.9,9.9,299.15,50.3
2015-01-17,150.8,0,1.9,9.9,298.46,50.2
2015-01-18,150.76,0,2,9.9,297.77,50
2015-01-19,150.72,0.5,1.9,9.9,297.08,49.9
2015-01-20,150.68,0,2,9.9,296.39,49.8
2015-01-21,150.64,0.5,2,9.9,295.7,49.7
2015-01-22,150.61,2,4,10,295.19,49.6
2015-01-23,150.57,0,2,10,294.5,49.5
2015-01-24,150.43,0,0.5,28.2,292.11,49.1
2015-01-25,150.32,1.3,1.7,23.3,290.25,48.8
2015-01-26,150.16,2.1,1.7,33,287.54,48.3
2015-01-27,150.03,0,2.7,28,285.35,48
2015-01-28,149.9,0,2.7,28,283.17,47.6
2015-01-29,149.76,0.1,0.9,27.9,280.84,47.2
2015-01-30,149.63,0.2,3.2,28.1,278.69,46.8
2015-01-31,149.5,0,3.5,28.1,276.56,46.5
2015-02-01,149.42,0,3.6,18.7,275.25,46.3
2015-02-02,149.28,0,2.5,28.8,272.99,45.9
2015-02-03,149.17,0,2.8,23.3,271.22,45.6
2015-02-04,149.06,0,2.7,23,269.46,45.3
2015-02-05,148.95,0,3,23.2,267.72,45
2015-02-06,148.83,0,1.3,23.2,265.83,44.7
2015-02-07,148.7,0,3.6,27.2,263.79,44.3
2015-02-08,148.59,0,2.8,22.6,262.08,44.1
2015-02-09,148.42,0,1.4,31.8,259.46,43.6
2015-02-10,148.29,0,4.1,27.1,257.46,43.3
2015-02-11,148.15,0,2.5,27.1,255.34,42.9
2015-02-12,148.01,0,2.6,27,253.22,42.6
2015-02-13,147.87,0,2.9,27.2,251.13,42.2
2015-02-14,147.73,0,3,27.1,249.04,41.9
2015-02-15,147.61,0,2.1,22.6,247.27,41.6
2015-02-16,147.46,4.7,6.1,31.6,245.07,41.2
2015-02-17,147.29,0.4,2.9,31.6,242.59,40.8
2015-02-18,147.15,0,3.3,26.7,240.57,40.4
2015-02-19,147.04,0,4.3,22.6,238.99,40.2
2015-02-20,146.9,0,3.9,27.1,236.99,39.8
2015-02-21,146.76,3.7,4.1,27.1,235,39.5
2015-02-22,146.64,0.2,3,22.6,233.31,39.2
2015-02-23,146.47,0,4.1,31.6,230.92,38.8
2015-02-24,146.32,0,2.9,27.1,228.83,38.5
2015-02-25,146.18,0,4.5,26.9,226.9,38.1
2015-02-26,146.04,0,4.8,27.1,224.98,37.8
2015-02-27,145.89,0,3.3,27,222.93,37.5
2015-02-28,145.75,0.2,5,27,221.03,37.2
2015-03-01,145.72,2.5,2.5,7.2,220.62,37.1
2015-03-02,145.7,0,4.1,7.2,220.35,37
2015-03-03,145.67,0.4,0.9,5.6,219.95,37
2015-03-04,145.65,0.1,2.5,5.6,219.68,36.9
2015-03-05,145.63,0,2.5,5.6,219.41,36.9
2015-03-06,145.61,0,2.5,5.6,219.14,36.8
2015-03-07,145.59,0,2.5,5.6,218.87,36.8
2015-03-08,145.57,0,2.4,5.5,218.6,36.7
2015-03-09,145.54,0,1,5.7,218.2,36.7
2015-03-10,145.52,0,2.5,5.6,217.93,36.6
2015-03-11,145.49,0,1.1,5.7,217.53,36.6
2015-03-12,145.47,0,2.5,5.6,217.26,36.5
2015-03-13,145.44,0.5,1,5.7,216.86,36.5
2015-03-14,145.42,0,2.8,5.9,216.59,36.4
2015-03-15,145.39,0,1.2,5.8,216.19,36.3
2015-03-16,145.37,0,2.5,5.6,215.93,36.3
2015-03-17,145.35,0,2.4,5.5,215.66,36.3
2015-03-18,145.36,30.1,7.1,5.6,215.79,36.3
2015-03-19,145.57,0.3,38.1,5.7,218.6,36.7
2015-03-20,145.73,0,40.5,15.6,220.76,37.1
2015-03-21,145.79,0,25.1,15.7,221.57,37.2
2015-03-22,145.8,0,17.2,15.6,221.7,37.3
2015-03-23,145.79,0,13.4,15,221.57,37.2
2015-03-24,145.77,0,11.3,14.4,221.3,37.2
2015-03-25,145.73,0,8.4,14.6,220.76,37.1
2015-03-26,145.69,0,9.3,15.5,220.22,37
2015-03-27,145.63,0,6.2,15.5,219.41,36.9
2015-03-28,145.57,0,6.4,15.7,218.6,36.7
2015-03-29,145.51,0,6.4,15.7,217.8,36.6
2015-03-30,145.44,0,4.5,15.3,216.86,36.5
2015-03-31,145.43,1.3,5.4,7,216.73,36.4
2015-04-01,145.42,1.5,5.4,6.9,216.59,36.4
2015-04-02,145.4,0,3.9,6.9,216.33,36.4
2015-04-03,145.4,1,6.8,6.8,216.33,36.4
2015-04-04,145.38,9.7,4.2,7.2,216.06,36.3
2015-04-05,145.38,4.2,6.7,6.7,216.06,36.3
2015-04-06,145.4,3,10.1,7,216.33,36.4
2015-04-07,145.43,0.2,11.5,6.9,216.73,36.4
2015-04-08,145.46,0,10.1,5.5,217.13,36.5
2015-04-09,145.49,0,10,5.4,217.53,36.6
2015-04-10,145.51,0,8.5,5.4,217.8,36.6
2015-04-11,145.53,0,8.8,5.6,218.06,36.7
2015-04-12,145.54,0,7.2,5.6,218.2,36.7
2015-04-13,145.55,10.8,7,5.4,218.33,36.7
2015-04-14,145.66,15.7,22.4,5.3,219.81,36.9
2015-04-15,145.96,0,52.4,5.3,223.88,37.6
2015-04-16,146.17,4.2,38.7,5.4,226.76,38.1
2015-04-17,146.31,0,27.8,5.4,228.7,38.4
2015-04-18,146.41,0.1,21.9,5.8,230.09,38.7
2015-04-19,146.5,10.6,20.2,5.6,231.34,38.9
2015-04-20,146.63,7.6,26.4,5.3,233.16,39.2
2015-04-21,146.84,0,39.7,5.4,236.13,39.7
2015-04-22,147.01,0,33.4,5.3,238.56,40.1
2015-04-23,147.12,0,23.8,5.5,240.14,40.4
2015-04-24,147.19,0,17.3,5.6,241.14,40.5
2015-04-25,147.24,0,14,5.6,241.87,40.7
2015-04-26,147.28,0,12.2,5.5,242.45,40.8
2015-04-27,147.23,0,8.5,16.9,241.72,40.6
2015-04-28,147.26,0,6.8,1.8,242.16,40.7
2015-04-29,147.31,0.8,8.5,0.1,242.88,40.8
2015-04-30,147.33,0,6.9,3.5,243.17,40.9
2015-05-01,147.25,0,7.2,20.6,242.01,40.7
2015-05-02,147.16,0,5.4,20.4,240.71,40.5
2015-05-03,147.1,2.7,5.5,15.5,239.85,40.3
2015-05-04,146.98,0,4.8,24.7,238.13,40
2015-05-05,146.88,0,5.1,21.6,236.7,39.8
2015-05-06,146.78,0,3.3,19.7,235.28,39.5
2015-05-07,146.68,0,3.3,19.7,233.87,39.3
2015-05-08,146.58,0,3.3,19.6,232.46,39.1
2015-05-09,146.48,0,3.5,19.7,231.06,38.8
2015-05-10,146.4,0,1.8,14.7,229.95,38.7
2015-05-11,146.26,5.7,2.2,24.7,228,38.3
2015-05-12,146.16,9,3.8,19.8,226.62,38.1
2015-05-13,146.05,0,2.2,19.7,225.11,37.8
2015-05-14,145.94,0,2.2,19.6,223.61,37.6
2015-05-15,145.84,0,4.1,19.8,222.25,37.4
2015-05-16,145.72,0.8,0.9,19.7,220.62,37.1
2015-05-17,145.64,0.5,2.4,14.9,219.54,36.9
2015-05-18,145.49,0,1.4,24.7,217.53,36.6
2015-05-19,145.37,2.2,1.2,19.8,215.93,36.3
2015-05-20,145.25,0,1.4,19.9,214.33,36
2015-05-21,145.13,0,1.5,19.9,212.75,35.8
2015-05-22,145.03,0,1,16.3,211.43,35.5
2015-05-23,144.93,0,1.2,16.4,210.12,35.3
2015-05-24,144.83,0,1.3,16.4,208.81,35.1
2015-05-25,144.76,0,0.8,11.3,207.9,34.9
2015-05-26,144.62,0,0.5,21.5,206.09,34.6
2015-05-27,144.51,0,0.1,16.5,204.67,34.4
2015-05-28,144.4,0,0.1,16.4,203.26,34.2
2015-05-29,144.27,0,0,19.1,201.6,33.9
2015-05-30,144.16,2,0.2,16.4,200.2,33.7
2015-05-31,144.06,0,1.8,16.5,198.94,33.4
2015-06-01,143.94,0,0,17,197.43,33.2
2015-06-02,143.83,0,1,17,196.05,33
2015-06-03,143.71,0,0,17.2,194.55,32.7
2015-06-04,143.6,0,1.8,17.6,193.18,32.5
2015-06-05,143.49,6.3,1.8,17.6,191.82,32.2
2015-06-06,143.37,0,0.6,17.7,190.34,32
2015-06-07,143.27,0,0.1,14.3,189.11,31.8
2015-06-08,143.12,0,1.5,22.7,187.28,31.5
2015-06-09,142.99,0,0.5,18.8,185.71,31.2
2015-06-10,142.87,0,1.5,18.3,184.26,31
2015-06-11,142.78,0,0,12.5,183.17,30.8
2015-06-12,142.69,0,0,12.5,182.1,30.6
2015-06-13,142.61,0,1.4,12.5,181.14,30.4
