일시,댐수위(ELm),강우량(mm),유입량(㎡/sec),총방류량(㎡/sec),저수량(백만㎥/sec),저수율(%)
2015-01-01 01시 ,102,0,14.1,14.1,264.41,57.9
2015-01-01 02시 ,102,0,14.1,14.1,264.41,57.9
2015-01-01 03시 ,101.99,0,0,13.4,264.22,57.8
2015-01-01 04시 ,101.99,0,13.5,13.5,264.22,57.8
2015-01-01 05시 ,101.99,0,14,14,264.22,57.8
2015-01-01 06시 ,101.98,0,0,13.9,264.02,57.8
2015-01-01 07시 ,101.98,0,13.9,13.9,264.02,57.8
2015-01-01 08시 ,101.98,0,12.9,12.9,264.02,57.8
2015-01-01 09시 ,101.97,0,0,13.1,263.83,57.7
2015-01-01 10시 ,101.98,0,68.2,14,264.02,57.8
2015-01-01 11시 ,101.98,0,14.1,14.1,264.02,57.8
2015-01-01 12시 ,101.97,0,0,14.1,263.83,57.7
2015-01-01 13시 ,101.97,0,14,14,263.83,57.7
2015-01-01 14시 ,101.97,0,14,14,263.83,57.7
2015-01-01 15시 ,101.97,0,13,13,263.83,57.7
2015-01-01 16시 ,101.97,0,12.8,12.8,263.83,57.7
2015-01-01 17시 ,101.96,0,0,12.9,263.63,57.7
2015-01-01 18시 ,101.96,0,14,14,263.63,57.7
2015-01-01 19시 ,101.96,0,14,14,263.63,57.7
2015-01-01 20시 ,101.96,0,14.1,14.1,263.63,57.7
2015-01-01 21시 ,101.95,0,0,14.1,263.44,57.6
2015-01-01 22시 ,101.95,0,14.2,14.2,263.44,57.6
2015-01-01 23시 ,101.95,0,13.2,13.2,263.44,57.6
2015-01-01 24시 ,101.95,0,13,13,263.44,57.6
2015-01-02 01시 ,101.95,0,12.9,12.9,263.44,57.6
2015-01-02 02시 ,101.95,0,13.4,13.4,263.44,57.6
2015-01-02 03시 ,101.94,0,0,14,263.24,57.6
2015-01-02 04시 ,101.94,0,14,14,263.24,57.6
2015-01-02 05시 ,101.94,0,13.9,13.9,263.24,57.6
2015-01-02 06시 ,101.94,0,13.9,13.9,263.24,57.6
2015-01-02 07시 ,101.94,0,13.9,13.9,263.24,57.6
2015-01-02 08시 ,101.94,0,13.9,13.9,263.24,57.6
2015-01-02 09시 ,101.94,0,14,14,263.24,57.6
2015-01-02 10시 ,101.94,0.3,13.4,13.4,263.24,57.6
2015-01-02 11시 ,101.94,0.1,13,13,263.24,57.6
2015-01-02 12시 ,101.93,0,0,13,263.05,57.6
2015-01-02 13시 ,101.93,0,12.9,12.9,263.05,57.6
2015-01-02 14시 ,101.93,0,13.9,13.9,263.05,57.6
2015-01-02 15시 ,101.92,0,0,14,262.85,57.5
