일시,댐수위(ELm),강우량(mm),유입량(㎡/sec),총방류량(㎡/sec),저수량(백만㎥/sec),저수율(%)
2015-01-01,101.95,0,2.4,13.7,263.44,57.6
2015-01-02,101.91,0.4,4.7,13.7,262.66,57.5
2015-01-03,101.87,0.1,5.2,14.2,261.88,57.3
2015-01-04,101.82,0,3,14.3,260.91,57.1
2015-01-05,101.77,9,2.8,14,259.94,56.9
2015-01-06,101.74,2.3,7.3,14,259.36,56.8
2015-01-07,101.7,0,5.2,14.1,258.59,56.6
2015-01-08,101.66,0,5.3,14.2,257.83,56.4
2015-01-09,101.61,0,3,14.1,256.87,56.2
2015-01-10,101.57,0,5.4,14.2,256.1,56
2015-01-11,101.52,0,3.1,14.1,255.15,55.8
2015-01-12,101.48,0,5.5,14.3,254.38,55.7
2015-01-13,101.43,0,3.2,14.2,253.43,55.5
2015-01-14,101.38,0,3.4,14.4,252.48,55.3
2015-01-15,101.33,0,3.5,14.5,251.54,55
2015-01-16,101.28,0,3.4,14.4,250.59,54.8
2015-01-17,101.22,0,1.4,14.5,249.46,54.6
2015-01-18,101.17,0.1,3.8,14.7,248.52,54.4
2015-01-19,101.11,0,1.8,14.8,247.4,54.1
2015-01-20,101.07,0,5.3,14,246.65,54
2015-01-21,101.02,2.8,2.9,13.7,245.72,53.8
2015-01-22,100.98,0,5.3,13.9,244.98,53.6
2015-01-23,100.93,0,3.2,14,244.05,53.4
2015-01-24,100.88,0,3.5,14.2,243.12,53.2
2015-01-25,100.83,6,3.5,14.2,242.2,53
2015-01-26,100.78,0.7,3.6,14.2,241.27,52.8
2015-01-27,100.73,0,3.7,14.4,240.35,52.6
2015-01-28,100.68,0,3.8,14.5,239.43,52.4
2015-01-29,100.63,4.6,4,14.6,238.52,52.2
2015-01-30,100.57,0.4,1.8,14.5,237.42,52
2015-01-31,100.53,0,6.2,14.6,236.69,51.8
2015-02-01,100.47,0,2.3,14.9,235.6,51.6
2015-02-02,100.41,0,2.3,14.9,234.51,51.3
2015-02-03,100.35,0,2.1,14.7,233.42,51.1
2015-02-04,100.29,0,2.4,14.9,232.34,50.8
2015-02-05,100.24,0,4.5,14.9,231.44,50.6
2015-02-06,100.18,0,2.5,15,230.36,50.4
2015-02-07,100.12,0,2.6,15,229.29,50.2
2015-02-08,100.05,0,0.3,14.8,228.03,49.9
2015-02-09,99.99,0,3.1,15.1,227,49.7
2015-02-10,99.93,0,2.9,15.2,225.94,49.4
2015-02-11,99.87,0,3.1,15.4,224.88,49.2
2015-02-12,99.8,0,1.2,15.4,223.65,48.9
2015-02-13,99.74,0,3.2,15.4,222.6,48.7
2015-02-14,99.67,0,1.2,15.3,221.38,48.4
2015-02-15,99.62,14.1,5.4,15.4,220.51,48.3
2015-02-16,99.58,2.8,7.2,15.2,219.82,48.1
2015-02-17,99.52,0,3.5,15.5,218.78,47.9
2015-02-18,99.46,0,3.7,15.6,217.75,47.7
2015-02-19,99.41,0,5.4,15.3,216.89,47.5
2015-02-20,99.35,0,3.2,15,215.87,47.2
2015-02-21,99.3,9.2,5.5,15.3,215.02,47.1
2015-02-22,99.25,0,5.6,15.4,214.17,46.9
2015-02-23,99.2,0,5.6,15.4,213.32,46.7
2015-02-24,99.14,0,3.8,15.5,212.31,46.5
2015-02-25,99.09,0,5.8,15.5,211.47,46.3
2015-02-26,99.02,0,2.4,15.9,210.3,46
2015-02-27,98.95,0,3.5,17,209.14,45.8
2015-02-28,98.89,3.1,5.5,17,208.14,45.6
2015-03-01,98.82,0.9,3.5,16.9,206.99,45.3
2015-03-02,98.75,0,3.8,17.1,205.83,45
2015-03-03,98.67,2.3,2,17.2,204.52,44.8
2015-03-04,98.6,0,3.2,16.4,203.38,44.5
2015-03-05,98.54,0,4.5,15.8,202.41,44.3
2015-03-06,98.47,0,2.8,15.8,201.28,44
2015-03-07,98.41,0,4.6,15.8,200.32,43.8
2015-03-08,98.33,0,0.8,15.7,199.03,43.6
