일시,댐수위(ELm),강우량(mm),유입량(㎡/sec),총방류량(㎡/sec),저수량(백만㎥/sec),저수율(%)
2015-01-01 01시 ,126.21,0,482.4,0,"1,165.03",42.4
2015-01-01 02시 ,126.2,0,0,0,"1,164.45",42.3
2015-01-01 03시 ,126.19,0,0,0,"1,163.87",42.3
2015-01-01 04시 ,126.2,0,160.8,0,"1,164.45",42.3
2015-01-01 05시 ,126.22,0,321.8,0,"1,165.61",42.4
2015-01-01 06시 ,126.2,0,0,0,"1,164.45",42.3
2015-01-01 07시 ,126.2,0,0,0,"1,164.45",42.3
2015-01-01 08시 ,126.21,0,160.9,0,"1,165.03",42.4
2015-01-01 09시 ,126.21,0,0,0,"1,165.03",42.4
2015-01-01 10시 ,126.14,0,0,284.8,"1,160.98",42.2
2015-01-01 11시 ,126.2,0,967.7,3.9,"1,164.45",42.3
2015-01-01 12시 ,126.19,0,0,0,"1,163.87",42.3
2015-01-01 13시 ,126.2,0,160.8,0,"1,164.45",42.3
2015-01-01 14시 ,126.2,0,0,0,"1,164.45",42.3
2015-01-01 15시 ,126.21,0,160.9,0,"1,165.03",42.4
2015-01-01 16시 ,126.19,0,0,0,"1,163.87",42.3
2015-01-01 17시 ,126.2,0,160.8,0,"1,164.45",42.3
2015-01-01 18시 ,126.21,0,160.9,0,"1,165.03",42.4
2015-01-01 19시 ,126.13,0,0,296.4,"1,160.4",42.2
2015-01-01 20시 ,126.19,0,"1,207.3",243.9,"1,163.87",42.3
2015-01-01 21시 ,126.17,0,0,0,"1,162.71",42.3
2015-01-01 22시 ,126.18,0,160.7,0,"1,163.29",42.3
2015-01-01 23시 ,126.09,0,0,603.3,"1,158.1",42.1
2015-01-01 24시 ,126.09,0,482.9,482.9,"1,158.1",42.1
2015-01-02 01시 ,126.11,0,320.3,0,"1,159.25",42.2
2015-01-02 02시 ,126.13,0,320.6,0,"1,160.4",42.2
2015-01-02 03시 ,126.11,0,0,0,"1,159.25",42.2
2015-01-02 04시 ,126.1,0,0,0,"1,158.67",42.1
2015-01-02 05시 ,126.13,0,480.8,0,"1,160.4",42.2
2015-01-02 06시 ,126.09,0,0,0,"1,158.1",42.1
2015-01-02 07시 ,126.1,0,160.1,0,"1,158.67",42.1
2015-01-02 08시 ,126.13,0,480.8,0,"1,160.4",42.2
2015-01-02 09시 ,126.11,0,0,0,"1,159.25",42.2
2015-01-02 10시 ,126.1,0,0,0,"1,158.67",42.1
2015-01-02 11시 ,126.12,0,320.4,0,"1,159.83",42.2
2015-01-02 12시 ,126.11,0,0,0,"1,159.25",42.2
2015-01-02 13시 ,126.11,0,0,0,"1,159.25",42.2
2015-01-02 14시 ,126.08,0,0,324.2,"1,157.52",42.1
2015-01-02 15시 ,126.08,0,338.1,338.1,"1,157.52",42.1
2015-01-02 16시 ,126.06,0,0,42,"1,156.37",42.1
2015-01-02 17시 ,126.05,0,0,307.6,"1,155.79",42
2015-01-02 18시 ,126.02,0,0,335.4,"1,154.07",42
2015-01-02 19시 ,126.01,0,17.2,336.4,"1,153.49",42
2015-01-02 20시 ,126.02,0,"1,228.3",271.5,"1,154.07",42
2015-01-02 21시 ,125.96,0,0,0,"1,150.63",41.8
2015-01-02 22시 ,126,0,637.2,0,"1,152.92",41.9
2015-01-02 23시 ,126.01,0,159.5,0,"1,153.49",42
2015-01-02 24시 ,125.99,0,0,0,"1,152.35",41.9
2015-01-03 01시 ,125.99,0,0,0,"1,152.35",41.9
2015-01-03 02시 ,126.02,0,478.4,0,"1,154.07",42
2015-01-03 03시 ,125.99,0,0,0,"1,152.35",41.9
2015-01-03 04시 ,126.01,0,318.9,0,"1,153.49",42
2015-01-03 05시 ,126.01,0,0,0,"1,153.49",42
2015-01-03 06시 ,126,0,0,0,"1,152.92",41.9
2015-01-03 07시 ,126,0,0,0,"1,152.92",41.9
2015-01-03 08시 ,126.01,0,159.5,0,"1,153.49",42
2015-01-03 09시 ,126.01,0,0,0,"1,153.49",42
2015-01-03 10시 ,126.01,0,0,0,"1,153.49",42
2015-01-03 11시 ,125.93,0,0,322.5,"1,148.91",41.8
2015-01-03 12시 ,125.93,0,332.1,332.1,"1,148.91",41.8
