일시,댐수위(ELm),강우량(mm),유입량(㎡/sec),총방류량(㎡/sec),저수량(백만㎥/sec),저수율(%)
2015-01-01,126.09,0,19.7,79.8,"1,158.1",42.1
2015-01-02,125.99,0,14.9,81.5,"1,152.35",41.9
2015-01-03,125.89,0,13.1,79.4,"1,146.62",41.7
2015-01-04,125.82,0,23.2,69.4,"1,142.63",41.6
2015-01-05,125.7,0.2,9.8,88.6,"1,135.82",41.3
2015-01-06,125.62,2.9,26.8,79.1,"1,131.29",41.1
2015-01-07,125.52,0,13.4,78.9,"1,125.64",40.9
2015-01-08,125.41,0,7.4,78.8,"1,119.47",40.7
2015-01-09,125.3,0,8.1,79.2,"1,113.32",40.5
2015-01-10,125.21,0,21.1,79.2,"1,108.31",40.3
2015-01-11,125.12,0.4,11.2,69.1,"1,103.31",40.1
2015-01-12,125.01,0,18.5,89,"1,097.22",39.9
2015-01-13,124.92,0,21.4,78.9,"1,092.26",39.7
2015-01-14,124.8,0,2.4,78.7,"1,085.66",39.5
2015-01-15,124.71,0,21.9,78.9,"1,080.73",39.3
2015-01-16,124.57,0.3,0.6,89,"1,073.09",39
2015-01-17,124.52,0,37.7,69.2,"1,070.37",38.9
2015-01-18,124.43,1,12,68.6,"1,065.48",38.7
2015-01-19,124.29,1.2,1.6,89.2,"1,057.91",38.5
2015-01-20,124.19,0,16.9,79.3,"1,052.53",38.3
2015-01-21,124.07,0.2,4.7,79.2,"1,046.09",38
2015-01-22,123.98,2.5,23.7,79.4,"1,041.28",37.9
2015-01-23,123.84,0.3,2.5,88.8,"1,033.82",37.6
2015-01-24,123.75,0.4,13.8,69.1,"1,029.04",37.4
2015-01-25,123.65,1.8,7.9,69.1,"1,023.76",37.2
2015-01-26,123.53,1.7,15.4,88.6,"1,017.43",37
2015-01-27,123.42,0.2,11.8,78.6,"1,011.66",36.8
2015-01-28,123.32,0,18.3,78.8,"1,006.43",36.6
2015-01-29,123.22,0.2,18.6,78.9,"1,001.22",36.4
2015-01-30,123.08,0.3,4.6,88.7,993.95,36.1
2015-01-31,122.99,0,14.9,68.8,989.3,36
2015-02-01,122.89,0,10,69.6,984.14,35.8
2015-02-02,122.77,0,17.3,88.7,977.98,35.6
2015-02-03,122.68,0,25.9,79.2,973.38,35.4
2015-02-04,122.56,0,7.5,78.3,967.26,35.2
2015-02-05,122.44,0,8.1,78.6,961.17,35
2015-02-06,122.34,0,30.5,89.1,956.11,34.8
2015-02-07,122.23,0,4.7,68.9,950.57,34.6
2015-02-08,122.13,0,10.8,69,945.55,34.4
2015-02-09,122,0,13.9,89.1,939.05,34.2
2015-02-10,121.88,0.1,9.9,79,933.07,33.9
2015-02-11,121.76,0,10.3,79.2,927.12,33.7
2015-02-12,121.67,0,27.7,79.1,922.67,33.6
2015-02-13,121.53,0,8.9,88.6,915.78,33.3
2015-02-14,121.46,0,29.2,68.9,912.35,33.2
2015-02-15,121.35,0,7,69.2,906.97,33
2015-02-16,121.25,7.2,32.2,88.5,902.1,32.8
2015-02-17,121.13,1.4,21.7,89.1,896.28,32.6
2015-02-18,121.03,0.8,23.3,79.2,891.45,32.4
2015-02-19,120.96,0.2,30.4,69.4,888.08,32.3
2015-02-20,120.84,0,11.5,78.2,882.31,32.1
2015-02-21,120.75,6.9,29.9,79.7,878.01,31.9
2015-02-22,120.69,0.9,35.8,68.9,875.14,31.8
2015-02-23,120.56,0,17.2,88.7,868.96,31.6
2015-02-24,120.49,0,40.6,79,865.64,31.5
2015-02-25,120.45,0,57.4,79.3,863.75,31.4
2015-02-26,120.36,0.3,29.5,78.7,859.51,31.3
2015-02-27,120.26,0,36,90.5,854.8,31.1
2015-02-28,120.18,0,23,66.4,851.05,31
2015-03-01,120.17,0.3,69.4,74.8,850.58,30.9
2015-03-02,120.02,0,13.9,94.9,843.58,30.7
2015-03-03,119.9,0.5,21,85.5,838.01,30.5
2015-03-04,119.82,0,42.1,85,834.31,30.3
2015-03-05,119.7,0,21.7,85.7,828.77,30.1
2015-03-06,119.54,0,9.8,94.8,821.43,29.9
2015-03-07,119.46,0,32.6,74.9,817.77,29.7
2015-03-08,119.33,0,6.7,75.2,811.86,29.5
2015-03-09,119.19,0,21.5,94.9,805.51,29.3
2015-03-10,119.1,0,39,86,801.45,29.1
2015-03-11,118.95,0,6.8,84.8,794.72,28.9
2015-03-12,118.84,0,28.3,85.2,789.8,28.7
2015-03-13,118.72,4.2,30.4,92.2,784.46,28.5
2015-03-14,118.63,0,45.7,91.9,780.46,28.4
2015-03-15,118.45,0,0.4,92.3,772.52,28.1
2015-03-16,118.32,0,26,92,766.81,27.9
2015-03-17,118.24,0,51.7,92.2,763.32,27.8
2015-03-18,118.09,19.5,16.2,91.8,756.79,27.5
2015-03-19,118.05,0.1,72.1,92.1,755.05,27.5
2015-03-20,118.04,0,86.9,91.9,754.62,27.4
2015-03-21,118.08,0,111.4,91.3,756.35,27.5
2015-03-22,118.01,0,57.6,92.7,753.32,27.4
2015-03-23,118.04,0,107.7,92.7,754.62,27.4
2015-03-24,118,0,71.6,91.6,752.88,27.4
2015-03-25,118.02,0,86.9,76.9,753.75,27.4
2015-03-26,117.96,0,46.7,76.8,751.15,27.3
2015-03-27,117.96,0,76.6,76.6,751.15,27.3
2015-03-28,117.9,0,46.8,76.8,748.56,27.2
2015-03-29,117.85,0,51.7,76.6,746.41,27.1
2015-03-30,117.74,0,21.7,76.3,741.69,27
2015-03-31,117.74,1.3,76.4,76.4,741.69,27
2015-04-01,117.65,4.1,41,85.5,737.83,26.8
2015-04-02,117.57,4.8,46,85.5,734.42,26.7
2015-04-03,117.59,20.2,95.1,85.2,735.27,26.7
2015-04-04,117.85,2.9,214,85.1,746.41,27.1
2015-04-05,118.16,2.2,240.8,85.6,759.83,27.6
2015-04-06,118.36,0.6,186.6,85.5,768.57,28
2015-04-07,118.48,0.3,146.7,85.6,773.84,28.1
2015-04-08,118.55,0.1,121.2,85.5,776.93,28.3
2015-04-09,118.65,0,137,85.8,781.35,28.4
2015-04-10,118.66,0,91.3,86.1,781.79,28.4
2015-04-11,118.66,0,86.1,86.1,781.79,28.4
2015-04-12,118.62,0,65.1,85.6,780.02,28.4
2015-04-13,118.59,1.2,70.1,85.5,778.69,28.3
2015-04-14,118.6,9,90.5,85.4,779.14,28.3
2015-04-15,118.6,0.8,85.8,85.8,779.14,28.3
2015-04-16,118.55,5.9,59.8,85.4,776.93,28.3
2015-04-17,118.53,0,75.1,85.3,776.04,28.2
2015-04-18,118.54,0,90.8,85.7,776.48,28.2
2015-04-19,118.54,8.8,85.4,85.4,776.48,28.2
2015-04-20,118.6,9.3,116,85.3,779.14,28.3
2015-04-21,118.67,0,121.6,85.7,782.24,28.4
2015-04-22,118.8,0,152.1,85.2,788.01,28.7
2015-04-23,118.9,0,137.9,86.2,792.48,28.8
2015-04-24,118.96,0,116.8,85.7,795.16,28.9
2015-04-25,118.99,0,101.2,85.6,796.51,29
2015-04-26,119.01,0,96.3,85.9,797.41,29
2015-04-27,119,0,80.4,85.6,796.96,29
2015-04-28,118.99,0,80.3,85.5,796.51,29
2015-04-29,118.96,0.7,70.1,85.6,795.16,28.9
2015-04-30,118.94,0,75.3,85.7,794.27,28.9
2015-05-01,118.86,0,56.7,98.1,790.69,28.8
2015-05-02,118.84,0.5,88.1,98.4,789.8,28.7
2015-05-03,118.71,1.5,30.9,97.9,784.01,28.5
2015-05-04,118.62,0.2,52,98.2,780.02,28.4
2015-05-05,118.51,0,42.1,98.3,775.16,28.2
2015-05-06,118.41,0,47.3,98.2,770.76,28
2015-05-07,118.29,0,37.4,98.3,765.5,27.8
2015-05-08,118.18,0,42.7,98.3,760.7,27.7
2015-05-09,118.07,0,43.1,98.5,755.92,27.5
2015-05-10,117.93,0,28.2,98.3,749.86,27.3
2015-05-11,117.82,7.6,43.4,98.3,745.12,27.1
2015-05-12,117.69,11.3,33.5,98,739.55,26.9
2015-05-13,117.58,0.2,44,98.3,734.85,26.7
2015-05-14,117.45,0,34.5,98.4,729.32,26.5
2015-05-15,117.35,0,49.9,98.9,725.09,26.4
2015-05-16,117.22,0,35.2,98.6,719.61,26.2
2015-05-17,117.13,0,54.7,98.5,715.83,26
2015-05-18,116.97,0,21.3,98.6,709.14,25.8
2015-05-19,116.84,3.3,36.1,98.6,703.74,25.6
2015-05-20,116.68,0.8,21.7,98.3,697.13,25.4
2015-05-21,116.62,0,38,66.6,694.66,25.3
2015-05-22,116.53,0,23.9,66.7,690.96,25.1
2015-05-23,116.45,0,28.6,66.5,687.69,25
2015-05-24,116.37,0,28.6,66.4,684.42,24.9
2015-05-25,116.26,0,14.5,66.3,679.95,24.7
2015-05-26,116.17,0,23.9,66.1,676.31,24.6
2015-05-27,116.07,0,19.8,66.6,672.27,24.5
2015-05-28,115.97,0,19.6,66.1,668.25,24.3
2015-05-29,115.91,0,18.7,46.5,665.84,24.2
2015-05-30,115.84,0.5,14.4,46.8,663.04,24.1
2015-05-31,115.77,0,14.5,46.8,660.25,24
2015-06-01,115.71,0,20,47.7,657.87,23.9
2015-06-02,115.64,0,15.6,47.8,655.09,23.8
2015-06-03,115.56,0,10.4,47.1,651.92,23.7
2015-06-04,115.5,0,19.9,47.3,649.55,23.6
2015-06-05,115.46,2.7,11.7,30,647.98,23.6
2015-06-06,115.42,0,11.8,30.1,646.4,23.5
2015-06-07,115.38,0,11.5,29.7,644.83,23.5
2015-06-08,115.34,0,11.8,29.9,643.26,23.4
2015-06-09,115.31,0,16.5,30.1,642.09,23.4
2015-06-10,115.27,0,12,30.2,640.52,23.3
2015-06-11,115.23,0,12,30.1,638.96,23.2
2015-06-12,115.19,2.6,11.8,29.8,637.4,23.2
2015-06-13,115.15,7.2,12.3,30.3,635.84,23.1
2015-06-14,115.12,0.3,16.5,30,634.68,23.1
2015-06-15,115.08,0.5,11.9,29.9,633.12,23
2015-06-16,115.05,3,16.6,30.1,631.96,23
2015-06-17,115.01,2.1,12,30,630.41,22.9
2015-06-18,114.99,0.3,21.4,30.4,629.64,22.9
2015-06-19,114.95,1,11.9,29.8,628.09,22.8
2015-06-20,114.95,14,29.7,29.7,628.09,22.8
2015-06-21,114.95,0.1,29.8,29.8,628.09,22.8
2015-06-22,114.9,5.5,10.8,33.1,626.16,22.8
2015-06-23,114.88,3.7,24.3,33.2,625.39,22.7
2015-06-24,114.85,7.5,19.8,33.2,624.24,22.7
2015-06-25,114.86,3.3,37.8,33.4,624.62,22.7
2015-06-26,114.94,33.5,69,33.3,627.7,22.8
2015-06-27,115.04,0.4,78,33.2,631.57,23
2015-06-28,115.11,1,64.7,33.2,634.29,23.1
2015-06-29,115.22,0.1,82.7,33.1,638.57,23.2
2015-06-30,115.31,2.3,56.5,15.8,642.09,23.4
2015-07-01,115.37,0.8,48.2,21,644.44,23.4
2015-07-02,115.4,0,39.5,25.9,645.62,23.5
2015-07-03,115.41,0.5,37.6,33.1,646.01,23.5
2015-07-04,115.39,0,23.9,33,645.22,23.5
2015-07-05,115.38,4.5,28.6,33.1,644.83,23.5
2015-07-06,115.38,1,32.6,32.6,644.83,23.5
2015-07-07,115.41,1.9,28.7,15.1,646.01,23.5
2015-07-08,115.46,16.6,37.8,15.1,647.98,23.6
2015-07-09,115.51,0.2,37.8,15,649.95,23.6
2015-07-10,115.61,0,55.5,9.8,653.9,23.8
2015-07-11,115.63,0.1,14.1,5,654.69,23.8
2015-07-12,115.74,22.1,55.6,5,659.06,24
2015-07-13,116.07,6.4,167.8,14.8,672.27,24.5
2015-07-14,116.28,0.2,108.4,10.1,680.76,24.8
2015-07-15,116.46,0,94.8,9.9,688.1,25
2015-07-16,116.57,0.4,72.2,20,692.6,25.2
2015-07-17,116.64,0.1,60.4,27.1,695.48,25.3
2015-07-18,116.68,0,46.2,27.2,697.13,25.4
2015-07-19,116.73,0.3,50.9,27,699.19,25.4
2015-07-20,116.74,0.1,35,30.2,699.6,25.4
2015-07-21,116.75,7.1,34.9,30.1,700.02,25.5
2015-07-22,116.83,5.6,42.4,4,703.33,25.6
2015-07-23,116.91,19.8,41.4,3,706.65,25.7
2015-07-24,117.26,52.9,172.6,3.1,721.29,26.2
2015-07-25,118.58,2.7,662.3,3.1,778.25,28.3
2015-07-26,119.58,0.9,523.8,2.9,823.26,29.9
2015-07-27,120.13,0,304.5,9.9,848.71,30.9
2015-07-28,120.45,0,188.9,14.8,863.75,31.4
2015-07-29,120.8,17.7,195.6,2.9,880.4,32
2015-07-30,121.07,0,153.3,3,893.38,32.5
2015-07-31,121.26,0,131.2,24.6,902.59,32.8
2015-08-01,121.4,0,103.8,24.8,909.41,33.1
2015-08-02,121.57,16.3,121.6,25.1,917.75,33.4
2015-08-03,121.81,0.1,140.3,3.2,929.6,33.8
2015-08-04,121.99,0,118.6,15,938.55,34.1
2015-08-05,122.11,0,94.4,25,944.54,34.4
2015-08-06,122.19,0,71.5,25,948.56,34.5
2015-08-07,122.25,0.8,65.3,30.4,951.57,34.6
2015-08-08,122.3,12,59.2,30.1,954.09,34.7
2015-08-09,122.34,0,53.5,30.1,956.11,34.8
2015-08-10,122.4,0,55.2,20.1,959.14,34.9
2015-08-11,122.49,0,72.9,20.1,963.7,35
2015-08-12,122.52,0.1,47.8,30.2,965.23,35.1
2015-08-13,122.55,4.6,47.5,29.9,966.75,35.2
2015-08-14,122.57,8.2,42,30.2,967.77,35.2
2015-08-15,122.6,0.8,47.8,30.1,969.3,35.3
2015-08-16,122.65,3,54.8,25.3,971.85,35.3
2015-08-17,122.69,0.3,48.8,25.2,973.89,35.4
2015-08-18,122.72,0,42.9,25.1,975.42,35.5
2015-08-19,122.75,0,47.9,30.1,976.96,35.5
2015-08-20,122.77,1.6,41.8,29.9,977.98,35.6
2015-08-21,122.78,2.8,30.9,25,978.5,35.6
2015-08-22,122.81,0.1,43,25.2,980.03,35.6
2015-08-23,122.83,1.8,37.2,25.3,981.06,35.7
2015-08-24,122.83,5.2,25.1,25.1,981.06,35.7
2015-08-25,122.86,41.6,38,20.1,982.6,35.7
2015-08-26,123.99,1.1,700.6,15.3,"1,041.81",37.9
