Date,데이터값
2021-01-01,242688
2021-01-02,234432
2021-01-03,245120
2021-01-04,239936
2021-01-05,245376
2021-01-06,239360
2021-01-07,248192
2021-01-08,254272
2021-01-09,267968
2021-01-10,267328
2021-01-11,264256
2021-01-12,266688
2021-01-13,277120
2021-01-14,278080
2021-01-15,284032
2021-01-16,279552
2021-01-17,269912
2021-01-18,262336
2021-01-19,270464
2021-01-20,261568
2021-01-21,267584
2021-01-22,258112
2021-01-23,257600
2021-01-24,239488
2021-01-25,248448
2021-01-26,216128
2021-01-27,242752
2021-01-28,238400
2021-01-29,202560
2021-01-30,234368
2021-01-31,244992
2021-02-01,237376
2021-02-02,241792
2021-02-03,248064
2021-02-04,247040
2021-02-05,243136
2021-02-06,251008
2021-02-07,241984
2021-02-08,237056
2021-02-09,237248
2021-02-10,250880
2021-02-11,250752
2021-02-12,230272
2021-02-13,226368
2021-02-14,230784
2021-02-15,225344
2021-02-16,235520
2021-02-17,231680
2021-02-18,233536
2021-02-19,239744
2021-02-20,238848
2021-02-21,239168
2021-02-22,229504
2021-02-23,230208
2021-02-24,239552
2021-02-25,236544
2021-02-26,239616
2021-02-27,238720
2021-02-28,248320
2021-03-01,234432
2021-03-02,230272
2021-03-03,226624
2021-03-04,226048
2021-03-05,223872
2021-03-06,230336
2021-03-07,223872
2021-03-08,216512
2021-03-09,219328
2021-03-10,219712
2021-03-11,218752
2021-03-12,211520
2021-03-13,225600
2021-03-14,216512
2021-03-15,219264
2021-03-16,216640
2021-03-17,206000
2021-03-18,214528
2021-03-19,217600
2021-03-20,216960
2021-03-21,216704
2021-03-22,203264
2021-03-23,206000
2021-03-24,220096
2021-03-25,230016
2021-03-26,220480
2021-03-27,217344
2021-03-28,217408
2021-03-29,219840
2021-03-30,224064
2021-03-31,222144
2021-04-01,224896
2021-04-02,215872
2021-04-03,217024
2021-04-04,217024
2021-04-05,208512
2021-04-06,221824
2021-04-07,222912
2021-04-08,223360
2021-04-09,218240
2021-04-10,222912
2021-04-11,219392
2021-04-12,213056
2021-04-13,213632
2021-04-14,222208
2021-04-15,216512
2021-04-16,218240
2021-04-17,224384
2021-04-18,216523
2021-04-19,226624
2021-04-20,222080
2021-04-21,216523
2021-04-22,235328
2021-04-23,239296
2021-04-24,243392
2021-04-25,247872
2021-04-26,224960
2021-04-27,225216
2021-04-28,220736
2021-04-29,233984
2021-04-30,239680
2021-05-01,245376
2021-05-02,228800
2021-05-03,229696
2021-05-04,229120
2021-05-05,229632
2021-05-06,220992
2021-05-07,222656
2021-05-08,233408
2021-05-09,228160
2021-05-10,212928
2021-05-11,239040
2021-05-12,240256
2021-05-13,241088
2021-05-14,241344
2021-05-15,237824
2021-05-16,235136
2021-05-17,222656
2021-05-18,224640
2021-05-19,238656
2021-05-20,224640
2021-05-21,222592
2021-05-22,240192
2021-05-23,240448
2021-05-24,225280
2021-05-25,226688
2021-05-26,232384
2021-05-27,215168
2021-05-28,223040
2021-05-29,235904
2021-05-30,240128
2021-05-31,220672
2021-06-01,230592
2021-06-02,227456
2021-06-03,224064
2021-06-04,234560
2021-06-05,229760
2021-06-06,212928
2021-06-07,229568
2021-06-08,237824
2021-06-09,236992
2021-06-10,237568
2021-06-11,239488
2021-06-12,241856
2021-06-13,235968
2021-06-14,230144
2021-06-15,230080
2021-06-16,230720
2021-06-17,237312
2021-06-18,230336
2021-06-19,238912
2021-06-20,236672
2021-06-21,237824
2021-06-22,243456
2021-06-23,230000
2021-06-24,238208
2021-06-25,238592
2021-06-26,236224
2021-06-27,252096
2021-06-28,243648
2021-06-29,235008
2021-06-30,249856
2021-07-01,241600
2021-07-02,244480
2021-07-03,248320
2021-07-04,238080
2021-07-05,235776
2021-07-06,234880
2021-07-07,247104
2021-07-08,249216
2021-07-09,238528
2021-07-10,244544
2021-07-11,243840
2021-07-12,239360
2021-07-13,246400
2021-07-14,256832
2021-07-15,256256
2021-07-16,249152
2021-07-17,248256
2021-07-18,257152
2021-07-19,247040
2021-07-20,253824
2021-07-21,259136
2021-07-22,260096
2021-07-23,260736
2021-07-24,264064
2021-07-25,251456
2021-07-26,260096
2021-07-27,258112
2021-07-28,258368
2021-07-29,258560
2021-07-30,262400
2021-07-31,261248
2021-08-01,250944
2021-08-02,247296
2021-08-03,260032
2021-08-04,255168
2021-08-05,255296
2021-08-06,257088
2021-08-07,255104
2021-08-08,259072
2021-08-09,258624
2021-08-10,254848
2021-08-11,266112
2021-08-12,261248
2021-08-13,258816
2021-08-14,258688
2021-08-15,260992
2021-08-16,265728
2021-08-17,253760
2021-08-18,263168
2021-08-19,255616
2021-08-20,242816
2021-08-21,254272
2021-08-22,258560
2021-08-23,238720
2021-08-24,252800
2021-08-25,247168
2021-08-26,250496
2021-08-27,239552
2021-08-28,237696
2021-08-29,245888
2021-08-30,241728
2021-08-31,239680
2021-09-01,251776
2021-09-02,250816
2021-09-03,246656
2021-09-04,243904
2021-09-05,252608
2021-09-06,241856
2021-09-07,245952
2021-09-08,236544
2021-09-09,249088
2021-09-10,247872
2021-09-11,255936
2021-09-12,257216
2021-09-13,246144
2021-09-14,250816
2021-09-15,249664
2021-09-16,248576
2021-09-17,258304
2021-09-18,265216
2021-09-19,256704
2021-09-20,252544
2021-09-21,247550
2021-09-22,247559
2021-09-23,247551
2021-09-24,247558
2021-09-25,247808
2021-09-26,245504
2021-09-27,241216
2021-09-28,239808
2021-09-29,237504
2021-09-30,241984
2021-10-01,242880
2021-10-02,243840
2021-10-03,253760
2021-10-04,233472
2021-10-05,227008
2021-10-06,240704
2021-10-07,250816
2021-10-08,248064
2021-10-09,256512
2021-10-10,245440
2021-10-11,247360
2021-10-12,238912
2021-10-13,241472
2021-10-14,245184
2021-10-15,253056
2021-10-16,233984
2021-10-17,238208
2021-10-18,233344
2021-10-19,242048
2021-10-20,236928
2021-10-21,246144
2021-10-22,240704
2021-10-23,241024
2021-10-24,236032
2021-10-25,230592
2021-10-26,244352
2021-10-27,247168
2021-10-28,244736
2021-10-29,245376
2021-10-30,238208
2021-10-31,242304
2021-11-01,235136
2021-11-02,241536
2021-11-03,243328
2021-11-04,241920
2021-11-05,240000
2021-11-06,239552
2021-11-07,238080
2021-11-08,228928
2021-11-09,238528
2021-11-10,239680
2021-11-11,245888
2021-11-12,250496
2021-11-13,252672
2021-11-14,259328
2021-11-15,236736
2021-11-16,245504
2021-11-17,246720
2021-11-18,245696
2021-11-19,252992
2021-11-20,259968
2021-11-21,249728
2021-11-22,248064
2021-11-23,242816
2021-11-24,243456
2021-11-25,250880
2021-11-26,253056
2021-11-27,260352
2021-11-28,250688
2021-11-29,236736
2021-11-30,251584
2021-12-01,235840
2021-12-02,240064
2021-12-03,243776
2021-12-04,252800
2021-12-05,239744
2021-12-06,242880
2021-12-07,242368
2021-12-08,251264
2021-12-09,250496
2021-12-10,249024
2021-12-11,238208
2021-12-12,246400
2021-12-13,230272
2021-12-14,245312
2021-12-15,241472
2021-12-16,252864
2021-12-17,242432
2021-12-18,245504
2021-12-19,246016
2021-12-20,242816
2021-12-21,238592
2021-12-22,248640
2021-12-23,244736
2021-12-24,251968
2021-12-25,236736
2021-12-26,247040
2021-12-27,246464
2021-12-28,248192
2021-12-29,258304
2021-12-30,260864
2021-12-31,252096
