Date,데이터값
2015-01-01,188112
2015-01-02,182624
2015-01-03,182256
2015-01-04,185216
2015-01-05,178848
2015-01-06,198656
2015-01-07,209744
2015-01-08,198096
2015-01-09,205712
2015-01-10,218176
2015-01-11,202560
2015-01-12,199952
2015-01-13,197216
2015-01-14,211792
2015-01-15,208032
2015-01-16,198192
2015-01-17,194192
2015-01-18,213856
2015-01-19,194752
2015-01-20,197008
2015-01-21,198496
2015-01-22,203760
2015-01-23,198544
2015-01-24,198096
2015-01-25,203664
2015-01-26,195168
2015-01-27,206016
2015-01-28,201088
2015-01-29,206736
2015-01-30,203104
2015-01-31,199520
2015-02-01,205008
2015-02-02,201440
2015-02-03,204080
2015-02-04,194896
2015-02-05,214096
2015-02-06,205328
2015-02-07,209488
2015-02-08,196304
2015-02-09,197728
2015-02-10,201008
2015-02-11,209584
2015-02-12,197344
2015-02-13,198832
2015-02-14,205392
2015-02-15,203584
2015-02-16,201664
2015-02-17,213840
2015-02-18,216368
2015-02-19,197584
2015-02-20,197792
2015-02-21,191808
2015-02-22,195168
2015-02-23,192080
2015-02-24,194528
2015-02-25,205504
2015-02-26,198752
2015-02-27,203856
2015-02-28,201088
2015-03-01,198464
2015-03-02,191904
2015-03-03,202032
2015-03-04,189920
2015-03-05,197792
2015-03-06,200464
2015-03-07,200960
2015-03-08,199648
2015-03-09,194192
2015-03-10,187184
2015-03-11,188320
2015-03-12,192912
2015-03-13,193360
2015-03-14,197568
2015-03-15,206608
2015-03-16,187792
2015-03-17,196608
2015-03-18,193408
2015-03-19,199600
2015-03-20,194384
2015-03-21,205568
2015-03-22,197792
2015-03-23,194880
2015-03-24,191440
2015-03-25,197344
2015-03-26,194752
2015-03-27,194912
2015-03-28,194000
2015-03-29,198624
2015-03-30,189792
2015-03-31,190848
2015-04-01,196464
2015-04-02,203968
2015-04-03,206352
2015-04-04,213824
2015-04-05,202944
2015-04-06,187664
2015-04-07,194544
2015-04-08,189168
2015-04-09,187472
2015-04-10,196832
2015-04-11,202416
2015-04-12,204448
2015-04-13,181360
2015-04-14,192336
2015-04-15,192384
2015-04-16,194992
2015-04-17,196848
2015-04-18,207344
2015-04-19,197952
2015-04-20,184544
2015-04-21,197712
2015-04-22,197968
2015-04-23,202784
2015-04-24,201488
2015-04-25,206192
2015-04-26,210896
2015-04-27,198976
2015-04-28,198992
2015-04-29,193712
2015-04-30,203664
2015-05-01,204592
2015-05-02,203680
2015-05-03,198992
2015-05-04,196944
2015-05-05,198768
2015-05-06,190880
2015-05-07,202688
2015-05-08,199088
2015-05-09,201344
2015-05-10,202640
2015-05-11,192672
2015-05-12,194368
2015-05-13,191696
2015-05-14,210496
2015-05-15,204624
2015-05-16,204416
2015-05-17,176480
2015-05-18,193072
2015-05-19,199424
2015-05-20,199504
2015-05-21,203136
2015-05-22,216480
2015-05-23,212112
